調達機関名,課所名,調達案件名称,入札方式,開札日,年度,設計額,予定価格,調査基準価格,落札金額,落札業者名,参加業者数,分野分類,不調,落札率,調査価格率
日高市,日高市 総合政策部 管財課,南平沢地内人孔改修設計業務（R６）,指名競争入札,2024-06-14,2024,5320000,5320000,4235000,5000000,株式会社光エンジニアリング 事業本部,5,下水道,false,0.94,0.796
日高市,日高市 総合政策部 管財課,路面性状調査業務（幹線56号外34路線）,指名競争入札,2024-06-14,2024,6482000,6482000,,4450000,ニチレキ株式会社 埼玉営業所,5,道路,false,0.687,
日高市,日高市 総合政策部 管財課,高萩第2-2号汚水幹線整備に伴う価格調査業務（Ｒ６）,指名競争入札,2024-05-30,2024,736000,736000,,430000,株式会社協振技建 さいたま事業所,5,下水道,false,0.584,
日高市,日高市 総合政策部 管財課,小・中・義務教育学校水質分析業務委託,指名競争入札,2024-05-30,2024,784000,784000,,500000,一般社団法人埼玉県環境検査研究協会 本店,5,測定・検査・調査,false,0.638,
日高市,日高市 総合政策部 管財課,河川水質・水生生物分析調査,指名競争入札,2024-05-30,2024,1200000,1200000,,1170000,一般社団法人埼玉県環境検査研究協会 本店,5,河川・砂防,false,0.975,
日高市,日高市 総合政策部 管財課,法面動態観測業務（下小畔川）,指名競争入札,2024-05-16,2024,2582000,2582000,1979000,2400000,日南技術株式会社 本店,5,その他,false,0.93,0.766
日高市,日高市 総合政策部 管財課,高麗川駅西口駅前広場等設計委託,指名競争入札,2024-05-16,2024,6564000,6564000,5230000,6300000,共和コンサルタント株式会社 本店,5,公園・緑地,false,0.96,0.797
日高市,日高市 総合政策部 管財課,道路メンテナンス事業交付金（補正分）橋りょう修繕設計業務（八ツ前側道橋外１橋）,指名競争入札,2024-05-16,2024,10342000,10342000,8235000,10200000,基礎地盤コンサルタンツ株式会社 北関東支店,5,橋梁,false,0.986,0.796
日高市,日高市 総合政策部 管財課,北平沢中継ポンプ場自家発電設備更新工事実施設計業務,指名競争入札,2024-04-25,2024,4040000,4040000,3222000,3900000,株式会社日本水道設計社 さいたま営業所,5,下水道,false,0.965,0.798
日高市,日高市 総合政策部 管財課,高萩第三取水場電磁流量計等更新工事実施設計業務,指名競争入札,2024-04-12,2024,2650000,2650000,2115000,2400000,株式会社東洋設計事務所 埼玉出張所,5,その他,false,0.906,0.798
日高市,日高市 総合政策部 管財課,換地計画縦覧立会説明業務,指名競争入札,2024-04-12,2024,1506000,1506000,1198000,1380000,昭和株式会社 埼玉支社,5,都市計画,false,0.916,0.795
日高市,日高市 総合政策部 管財課,日高市一般廃棄物最終処分場水質検査業務委託,指名競争入札,2024-04-12,2024,8468000,8468000,,7800000,一般社団法人埼玉県環境検査研究協会 本店,5,測定・検査・調査,false,0.921,
